X,Y,Z
-797,136,-1175
-455,308,-1279
-484,726,-1257
-337,1238,-750
336,1829,-191
285,1901,257
-321,1449,310
-122,482,-71
694,-387,-476
867,-862,-159
132,-815,305
-529,-493,347
-611,-524,856
-591,-401,1744
-1002,-131,1898
-1579,-149,1211
-1553,-421,567
-1435,432,438
-1515,1390,416
-1283,1322,314
-700,371,-120
161,-482,-791
382,-643,-860
-216,-521,-290
-869,-639,16
-752,-1121,-106
-298,-1694,-430
-80,-2331,-853
392,-2441,-1790
1526,-1516,-1218
804,172,1845
-1474,806,3665
-2375,264,3302
-1298,-688,2207
57,-396,918
245,654,262
-80,653,-386
766,137,-1062
1696,-147,-1235
1546,9,-1072
684,333,-1067
63,166,-1075
-597,-214,-608
-1550,-1314,141
-1557,-2089,370
-887,-1911,178
-647,-1352,365
-1192,-673,823
-1787,-431,860
-1635,-1002,475
-626,-1384,155
40,-1168,651
-534,-441,1211
-961,201,731
-925,375,-457
-492,133,-1535
30,86,-2346
495,201,-2281
-68,344,-1231
-1233,283,5
-1580,-90,685
-855,-717,801
-164,-992,463
254,-1108,404
290,-1050,516
462,-691,407
539,-450,217
746,-372,397
736,-138,856
235,-190,436
-70,-133,-587
-137,248,-1457
14,1141,-1560
231,1731,-1058
591,1116,-815
1263,551,-1278
1406,593,-1504
766,966,-1124
298,1038,-474
607,759,294
890,571,1147
486,94,1693
457,-224,1404
1206,-357,1578
1132,-397,2614
271,-260,3311
-422,-27,3239
-701,432,2296
-492,749,1212
-412,947,300
-451,971,-468
-295,872,-1017
-180,549,-1386
-170,24,-1763
-20,-518,-1981
179,-813,-2028
-48,-809,-1732
-560,-624,-1238
-411,-799,-601
761,-941,-199
2042,-1127,191
2273,-1236,875
1677,-966,2234
417,-218,3128
-751,242,2684
-679,-26,891
519,-103,-1025
1155,-19,-2160
817,318,-2707
299,706,-2880
137,949,-2965
351,768,-2738
592,267,-2170
842,474,-1831
639,884,-1556
643,1032,-988
1167,426,-155
1962,76,232
2878,97,238
3017,349,558
2229,685,979
1239,1032,1122
180,1212,604
-267,1018,-127
278,790,-482
732,971,-115
-106,1693,347
-1161,2118,516
-1639,1472,650
-767,434,577
40,-565,842
-23,-771,1207
-1003,-629,1452
-1847,-323,1074
-1244,-173,310
-98,-378,26
423,-769,-51
750,-762,166
550,-536,1125
-442,320,1433
-1425,975,714
-1504,1256,-524
-452,1199,-1232
246,1271,-1388
3,1609,-1365
-654,1452,-1390
-508,834,-1118
49,399,-802
238,416,-224
143,443,641
209,432,981
642,238,625
1126,374,189
931,1064,260
498,1066,390
1432,628,-68
2526,154,8
2566,301,1839
1128,816,3390
-232,986,3144
-864,682,1578
-703,-122,114
-490,-967,-1101
-230,-1521,-1987
49,-1567,-2468
198,-1297,-2408
-152,-481,-1847
-919,94,-1101
-1134,15,-778
-583,-216,-1077
94,-326,-1032
-5,82,-271
-743,97,494
-1000,-394,814
-141,-479,555
888,-587,499
1109,-1181,928
938,-1816,983
927,-1980,521
692,-1887,-241
393,-1970,-1323
354,-1822,-1829
-380,-1720,-1549
-986,-1939,-766
-636,-1239,-385
-791,451,-261
-1610,1436,88
-1948,844,235
-827,-75,-219
-16,-4,-336
-787,165,273
-1460,226,440
-1259,316,295
-1359,-85,566
-1188,-244,921
-687,-191,1107
-850,-371,1905
-1725,-567,2783
-2326,-885,2468
-2105,-1009,875
-1286,-531,-649
-810,497,-921
-1240,1141,-411
-1382,683,-147
-700,53,-586
-236,-358,-1029
-326,-492,-1029
-889,-328,-775
-1541,-144,-450
-1986,-616,-291
-1876,-1508,-299
-1251,-2165,-711
-600,-2311,-1165
-250,-2037,-120
-965,-930,2063
-2344,57,2980
-2931,-182,2001
-1850,-663,195
102,-570,-1161
1283,-166,-1718
1442,680,-1677
1051,1249,-1254
917,1278,-669
1171,726,-166
1147,-117,-44
56,-1331,292
-932,-2366,502
-983,-2533,290
-500,-1954,-82
-936,-1599,181
-1722,-1805,529
-1923,-1967,714
-1769,-1590,691
-1726,-749,697
-1728,26,402
-1275,121,104
-413,-202,-97
524,-316,-368
969,-76,-758
937,151,-880
734,329,-615
354,-273,-562
88,-798,-555
-35,-1225,-590
-311,-1120,-322
-417,-746,-152
-18,-164,74
233,38,484
413,-454,1283
647,-825,1526
574,-439,817
605,544,-276
892,1845,-1066
1125,2851,-992
1107,2888,-555
1356,2397,-526
1967,2110,-800
2379,1679,-735
2060,1525,-479
1176,1686,-472
653,1839,-488
398,1457,-279
338,611,17
641,-246,399
1126,-744,913
1125,-927,1348
964,-902,1541
727,-597,1639
491,-291,1889
77,-25,1906
-413,269,1460
-567,296,695
-393,-31,15
-172,-654,-90
68,-1144,25
206,-1276,78
234,-964,-44
75,-494,-601
-196,-121,-1402
-564,116,-2078
-444,322,-2465
-256,449,-2076
-105,157,-1222
639,-339,-488
1372,-376,-6
1558,-461,852
1493,-750,1849
1334,-874,2390
848,-575,1861
435,-216,963
323,45,71
292,193,-869
571,271,-1786
1080,506,-2398
1203,999,-2456
1005,1499,-1688
686,1694,-736
500,1593,325
574,1330,976
849,932,1229
945,932,1197
902,936,887
1481,762,337
2235,314,182
2680,17,1286
1812,658,2713
9,867,2953
-759,741,1633
-526,521,84
34,269,-607
20,374,-950
-162,643,-1372
-461,763,-1844
-714,401,-1635
-706,-232,-1072
-351,-514,-779
-415,-433,-491
-734,-416,-221
-824,-288,-71
-957,-135,-27
-720,1,-163
-43,-41,-321
494,-197,-243
521,-406,243
362,-90,1180
-318,683,1920
-868,944,1677
-604,741,523
215,523,-639
664,384,-1172
676,510,-1148
310,720,-875
-136,833,-744
-596,948,-938
-469,876,-1008
199,1021,-688
322,1324,-225
168,1686,-110
442,1824,-633
794,1782,-932
1006,1852,-644
732,1509,-194
633,1062,-381
327,398,-1
29,-745,1715
230,-1260,2994
57,-1164,2714
-10,-962,1713
-261,-913,840
-356,-823,302
-599,-566,-309
-764,-636,-555
-444,-1002,-469
-171,-1279,-108
98,-1246,492
111,-1023,761
383,-779,720
351,-476,687
-147,-277,673
-738,-297,464
-634,-461,210
-273,-475,139
-450,-656,383
-696,-923,549
-523,-1283,356
-232,-1337,-240
-330,-1130,-862
-297,-1107,-1044
-363,-894,-1049
-813,-306,-1365
-1005,-329,-1355
-201,-1388,-725
985,-1765,-119
1610,-702,-262
606,169,-166
-89,505,-104
-106,4,256
70,-417,426
-492,-436,262
-1086,-577,-180
-1203,-800,-615
-1356,-1007,-854
-1367,-1255,-856
-841,-1401,-542
-598,-1453,377
-950,-1276,1287
-1755,-1066,1626
-2199,-995,1082
-1895,-795,99
-1396,-430,-824
-1294,18,-1281
-1442,227,-1283
-1404,101,-1225
-958,-459,-961
-314,-542,-1296
-252,-553,-1475
-803,-617,-1188
-1162,-223,-613
-1489,-258,-38
-1674,-757,131
-1175,-1239,-73
-591,-1541,-14
-544,-1512,1130
-1185,-1157,2524
-1911,-1003,2819
-2067,-1285,2088
-1377,-1211,1057
-386,-822,115
325,-461,-289
969,-591,14
1686,-594,150
2222,12,-43
1672,694,-78
733,757,-3
151,390,-273
-520,-377,-655
-836,-992,-852
-945,-1272,-824
-1001,-1395,-619
-873,-1012,-404
-1122,-208,47
-1383,526,416
-1374,867,351
-953,799,-194
-591,803,-799
-68,938,-1190
458,1088,-1288
461,776,-1160
-704,333,-633
-1476,-241,104
-1356,-1111,657
-338,-1588,454
684,-1539,-211
993,-930,-968
1466,-199,-1658
2314,538,-1645
2205,494,-571
1456,822,682
748,1134,1177
166,1455,618
-355,1764,-520
-280,1862,-1441
576,1797,-1503
2034,1911,-407
2849,2260,1155
1993,2288,1798
1117,1839,1519
1134,1005,981
1532,574,561
1128,450,556
396,505,639
-102,794,836
-551,960,1215
-874,1255,1685
-1194,1343,1897
-1299,1211,1578
-1293,1084,867
-1385,854,42
-1459,942,-1015
-1391,1394,-1556
-1203,1422,-811
-686,725,516
157,-7,963
623,-254,402
514,-372,-476
629,-720,-579
578,-1237,99
384,-1416,643
-286,-1386,779
-1168,-1074,1035
-1715,-542,990
-1793,-226,862
-1201,134,952
-581,737,1557
-612,876,2390
-991,541,2396
-754,40,1247
444,198,-411
1399,707,-1778
1850,1157,-2746
2243,1474,-3273
2523,1349,-3127
2867,1502,-2290
2271,2137,-1303
1238,2437,-632
758,2056,-452
767,1319,-355
1162,794,-155
1686,654,200
1830,406,645
1684,353,911
904,371,1422
154,449,1828
39,376,1703
213,312,1178
15,477,243
-575,396,-612
-976,54,-1102
-926,-236,-1005
-638,-542,-407
-330,-731,218
-325,-795,309
-219,-1040,-45
-100,-996,-729
-305,-664,-1604
-188,-281,-1331
-611,-113,-530
-496,-106,-148
163,-591,91
638,-818,731
524,-498,1711
128,112,2461
-271,554,2359
-297,581,1174
497,339,-252
1321,145,-1223
1693,314,-1501
1104,609,-1504
361,866,-1542
120,817,-1664
267,334,-1499
486,235,-1192
455,571,-765
340,1013,-429
-58,1589,121
-328,1799,35
-204,1265,-445
990,526,-494
1926,147,431
2231,178,1489
1750,579,1738
1092,945,1794
575,1222,1493
270,1160,932
253,613,437
189,166,204
-5,36,236
-114,238,195
-177,472,147
-223,417,147
-271,119,153
61,-348,339
377,-442,380
305,-590,450
-15,-838,716
-252,-1240,567
-145,-1398,40
-177,-1600,-302
-365,-1683,-487
-379,-1541,-538
-226,-1296,-462
-113,-1183,-303
-214,-1290,-24
-243,-1378,-184
-104,-1497,-514
56,-1808,-681
