X,Y,Z
310,-70,-28
250,-6,20
170,-10,113
158,13,115
144,62,130
160,87,150
75,104,166
7,133,168
22,130,211
42,171,163
73,172,15
92,152,-5
86,112,-26
89,82,-88
131,31,-71
89,-38,26
12,-25,-2
36,-19,-60
76,-69,-163
100,-14,-168
20,-48,1
-38,-41,34
-18,20,-16
-2,41,-46
5,41,16
-30,26,225
-74,1,322
-74,63,312
-48,20,228
22,-27,114
44,18,16
-17,1,98
-128,-128,154
-146,-10,40
-90,16,-137
-62,-38,-299
22,17,-275
48,-8,-283
-26,40,-178
-140,-76,-73
-63,-75,-25
32,-57,-44
90,-33,-72
94,-29,-41
134,2,10
48,-6,211
38,-106,343
10,-109,356
52,-143,346
56,-134,360
15,-85,313
-37,-84,298
-41,-46,253
-36,-42,167
-38,-72,126
-35,-92,80
-27,-90,72
-48,-99,35
-22,-134,-3
16,-169,-38
28,-180,-10
-4,-169,-72
-20,-113,-126
-6,-66,-140
-29,-51,-96
-15,-48,-90
8,-50,-113
39,-33,-91
26,-38,-40
-14,6,-23
-41,60,-40
-36,79,-17
-35,55,53
-75,20,105
-64,-17,146
-44,-49,146
-54,-81,133
-48,-102,118
-36,-119,57
-20,-116,-39
2,-94,-69
-35,-84,-78
-40,-82,-123
-14,-66,-149
44,-28,-169
22,-4,-137
-2,-40,-67
35,-46,-56
54,-81,-11
23,-88,47
-29,-97,161
-62,-99,268
-83,-116,177
-36,-61,-52
44,-48,-278
85,-28,-270
-12,20,-118
-136,35,17
-158,-33,17
-75,-157,91
-49,-170,175
-182,-105,204
-173,-37,284
-87,-117,265
81,-192,6
348,-169,-289
434,-165,-375
302,-182,-206
182,-159,-90
129,-161,-90
88,-108,-68
-18,-58,34
-96,22,84
-156,84,49
-131,126,18
-88,115,-21
-56,133,-10
-39,62,55
-31,30,47
47,42,-79
83,35,-56
43,-13,-13
-4,-6,18
-36,18,5
-52,29,41
-73,38,85
-84,4,96
-64,20,30
-27,-27,-44
3,-57,-43
59,-121,-48
105,-149,-60
96,-142,-5
83,-136,-4
85,-133,-76
115,-62,-123
79,-7,49
-4,29,323
-41,78,467
-55,19,479
-75,-46,322
-46,-33,-39
-15,6,-226
-50,-77,-158
-9,-160,-184
85,-200,-319
92,-201,-431
86,-141,-431
-2,-23,-306
-118,87,-152
-172,174,-95
-112,81,-20
-52,-9,22
-12,-27,35
-35,8,127
-121,21,129
-99,4,110
-115,-45,172
-121,-84,161
-121,-102,120
-116,-110,65
-142,-136,92
-194,-155,102
-175,-177,77
-155,-178,66
-143,-194,104
-177,-157,72
-210,-127,-36
-165,-149,-142
-132,-157,-114
-149,-165,-66
-194,-156,-5
-204,-127,-23
-169,-144,-62
-138,-114,-24
-112,-146,-34
-112,-135,42
-112,-94,105
-118,-102,127
-135,-94,84
-123,-89,88
-98,-86,72
-79,-53,-37
-92,-12,-86
-111,54,-122
-112,47,-74
-120,32,-12
-91,33,-12
-54,35,-92
-52,76,-170
-50,59,-147
-54,83,-107
-42,-3,-80
-23,-28,-37
8,-28,-41
-12,18,-35
7,53,-137
44,50,-142
27,5,-57
-14,-54,175
-2,-115,232
14,-154,248
40,-143,122
117,-90,-69
161,-88,-118
121,-102,-40
70,-104,51
86,-101,80
111,-90,17
137,-84,-90
123,-35,-66
83,-20,19
65,-6,48
109,-34,-29
173,-72,-94
